"FOLLOWERS_COUNT","PREDICTED","ABS_DIFF_PRED","PERC_DIFF_PRED"
108,245.510647591297,137.510647591297,127.324673695646
1256,1098.91776791069,157.082232089314,12.506547140869
370,259.093839444902,110.906160555098,29.9746379878645
2458,1491.34823947854,966.651760521465,39.3267599886682
235,358.964015273693,123.964015273693,52.7506447973161
888,600.301030300933,287.698969699067,32.3985326237688
2108,1562.45961911153,545.540380888468,25.8795247100792
307,583.937547353451,276.937547353452,90.2076701477041
912,380.143909336951,531.856090663049,58.3175538007729
153,136.963420379801,16.0365796201993,10.4814245883656
277,658.637771327404,381.637771327404,137.775368710254
744,538.473298376806,205.526701623194,27.6245566697841
429,372.107913929957,56.8920860700429,13.2615585244855
753,830.486379227283,77.4863792272834,10.2903558070761
581,509.486252216575,71.5137477834253,12.3087345582488
8930.99999999999,4628.18643007553,4302.81356992447,48.1784074563259
416,405.794601383987,10.2053986160132,2.45322082115701
544,496.560380451506,47.4396195484942,8.72051829935555
470,366.200303004862,103.799696995138,22.0850419138592
164,123.925473742185,40.0745262578145,24.4356867425698
154,255.819143289796,101.819143289796,66.1163268115556
106,267.950632783116,161.950632783116,152.783615833129
518,596.748210083978,78.7482100839777,15.2023571590691
659,253.65849074464,405.34150925536,61.5085750008133
101,69.1229258666424,31.8770741333576,31.5614595379778
186,221.012297374105,35.0122973741046,18.8238157925294
5479,2640.52330809902,2838.47669190098,51.80647366127
1069,1301.72714191037,232.727141910373,21.7705464836645
858,995.19295042422,137.192950424221,15.9898543617973
423,514.541581634243,91.5415816342435,21.6410358473389
181,155.826657824496,25.1733421755043,13.9079238538698
139,441.51129856541,302.51129856541,217.6340277449
1134,497.569194858549,636.430805141452,56.1226459560363
4942,2687.25984463278,2254.74015536721,45.6240419944803
487,930.78791292161,443.78791292161,91.1268815034107
336,227.09238073897,108.90761926103,32.4129819229257
1618,1107.80009090732,510.199909092676,31.5327508709935
167,106.317136307895,60.6828636921045,36.3370441270087
1798,534.059309269341,1263.94069073066,70.2970350795695
396,2968.36169335904,2572.36169335904,649.586286201776
2560,2163.37663815375,396.623361846254,15.4931000721193
1818,1340.98423496594,477.015765034063,26.2384909259661
1127,174.918721198042,952.081278801958,84.479261650573
234,210.520719437453,23.4792805625473,10.0338805822852
206,405.544096160654,199.544096160654,96.8660660974047
1213,344.525472988478,868.474527011522,71.5972404791032
1679,1867.99726872727,188.997268727271,11.2565377443282
920,650.096940197846,269.903059802154,29.3372891089297
419,674.71845323981,255.71845323981,61.0306570978067
145,396.471314018813,251.471314018813,173.428492426768
942,2421.33954401493,1479.33954401493,157.042414438952
258,267.84982667063,9.84982667063053,3.81776227543819
1454,1174.40851678597,279.591483214035,19.2291253929872
60691,81928.550520116,21237.550520116,34.9929157867163
1616,189.200884310027,1426.79911568997,88.2920244857656
154,215.629581375704,61.6295813757039,40.019208685522
385,237.068422740924,147.931577259076,38.4237863010586
381,396.672704163467,15.6727041634674,4.11357064657937
579,279.776518120116,299.223481879884,51.679357837631
318,371.129690882221,53.1296908822212,16.7074499629626
1140,1181.9554182721,41.9554182721006,3.68029984842988
337,379.091867310598,42.091867310598,12.4901683414238
342,498.921331562478,156.921331562479,45.8834302814265
101,99.663694544733,1.33630545526697,1.32307470818512
2071,1140.72765713807,930.272342861934,44.9189928953131
332,314.652167740598,17.3478322594016,5.22525068054266
1617,1682.70596909651,65.7059690965089,4.06344892371731
428,572.152977579714,144.152977579714,33.6806022382509
470,833.549345608596,363.549345608596,77.3509245975735
11616,10720.038692288,895.961307712018,7.71316552782384
2320,2045.31402605947,274.685973940532,11.8399126698505
746,1085.43827016602,339.438270166016,45.5011086013427
20727,10322.0313211967,10404.9686788033,50.2000708197197
573,1133.66092190471,560.660921904711,97.8465832294434
139,170.912694022957,31.9126940229567,22.9587726783862
176,212.300598572228,36.3005985722279,20.6253400978568
11078,2854.60873708029,8223.39126291971,74.2317319274211
204,454.900607040228,250.900607040228,122.990493647171
465,544.142465071737,79.1424650717373,17.0198849616639
192,276.992121849076,84.9921218490757,44.2667301297269
321,352.308450394699,31.3084503946987,9.75341133791236
681,322.011357232374,358.988642767626,52.7149255165383
206,728.558138385836,522.558138385836,253.668999216425
25239,5382.62459327557,19856.3754067244,78.6733840751394
382,547.401357903057,165.401357903057,43.2987847913762
4497,4629.20755852757,132.207558527567,2.9399056821785
1479,1264.20974991842,214.790250081578,14.5226673483149
149,106.104003278793,42.8959967212073,28.7892595444344
222,231.930558159456,9.9305581594555,4.47322439615113
