ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
490156177,Sun Feb 12 08:33:54 +0000 2012,27158,1525,2,2148,False,470,82,True,False,30,31,23,3170,8,4,6,0,3,3206
18519972,Thu Jan 01 00:29:14 +0000 2009,64916,7919,706,1558,False,11616,109,True,True,315,747,1103,1973,901,348,758,116,768,3244
1170439922,Tue Feb 12 00:33:50 +0000 2013,183580,82,180,20727,False,6455,36,True,True,2585,2578,109,42,430,3,598,49,56,3204
4696982532,Sat Jan 02 16:01:37 +0000 2016,5261,82,5,3004,False,94,44,False,False,866,1087,82,115,2113,39,2233,78,110,3215
457671572,Sat Jan 07 17:45:32 +0000 2012,36402,546,66,292,False,2320,110,True,True,748,2077,4287,607,5001,2191,1139,92,210,3245
713380897987252224,Fri Mar 25 15:03:54 +0000 2016,2294,46,1,1274,False,39,33,False,True,464,477,74,995,251,35,800,34,47,2252
729435116217323521,Sun May 08 22:17:38 +0000 2016,337,141,3,79,False,149,142,False,True,207,234,6,7,79,0,126,6,6,352
710110798626947073,Wed Mar 16 14:29:42 +0000 2016,5844,701,29,2437,False,746,141,False,True,765,4732,2799,227,2752,2555,1506,1887,2757,3207
3183845371,Sun May 03 06:31:07 +0000 2015,1684,89,0,319,False,32,54,False,True,54,34,2,238,26,66,1420,85,102,1692
2329371961,Wed Feb 05 21:16:01 +0000 2014,70640,4231,29,23500,False,20727,124,True,True,552,573,14256,1761,12085,36,874,297,430,3170
63398180,Thu Aug 06 06:49:00 +0000 2009,20937,1204,17,20758,False,573,89,True,True,266,353,200,696,1422,486,2199,117,126,3228
720191601797017600,Wed Apr 13 10:07:13 +0000 2016,3786,156,1,503,False,139,106,False,True,1543,1773,88,20,1388,10,1673,17,31,3242
3536424164,Sat Sep 12 09:26:38 +0000 2015,39,186,1,320,False,176,0,False,True,13,20,2,17,57,18,2,0,0,36
446230235,Sun Dec 25 13:08:43 +0000 2011,40876,12187,16,0,False,11078,145,False,True,0,167,0,0,57,6,3079,0,3246,3246
2380588674,Sun Mar 09 15:02:13 +0000 2014,462911,698,2199,0,False,1762,54,True,True,0,0,130,0,227,10264,3239,0,3239,3239
3064078152,Fri Mar 06 06:35:18 +0000 2015,44539,204,9,8639,False,204,77,False,True,576,636,795,430,1596,983,2199,48,251,3246
1444875014,Mon May 20 21:56:44 +0000 2013,7052,550,0,748,False,465,69,True,True,361,411,434,1147,657,67,1703,35,152,3181
4383537317,Sat Dec 05 13:48:15 +0000 2015,950,997,54,0,False,17,0,False,False,0,0,0,1058,0,0,1,0,0,1059
48091159,Wed Jun 17 19:54:40 +0000 2009,3243,297,1,4595,False,192,33,True,True,262,352,81,1373,595,97,1471,34,101,3158
565453455,Sat Apr 28 11:33:29 +0000 2012,109697,9418,255,44658,False,9418,144,False,True,223,588,86,2891,168,0,34,1,15,3146
151332515,Thu Jun 03 04:41:48 +0000 2010,302639,98288,357,5,False,178670,137,False,False,0,0,0,3220,0,0,0,0,0,3220
1220488836,Tue Feb 26 04:58:23 +0000 2013,46392,231,5,27696,False,321,89,False,False,220,264,126,2062,618,8,849,257,303,3146
2948596629,Mon Dec 29 06:25:09 +0000 2014,12980,89,14,17243,False,681,110,False,False,249,1472,961,2745,2621,283,198,19,20,3210
2224495675,Sun Dec 01 08:30:35 +0000 2013,41009,964,6,1269,False,206,41,False,True,11,16,43,3140,8,17,68,18,22,3224
1273848649,Sun Mar 17 02:36:01 +0000 2013,30607,2,0,298,False,2,86,False,True,636,772,0,0,2,0,2458,0,0,3230
110867854,Wed Feb 03 01:28:31 +0000 2010,94779,1100,227,1216,False,25239,114,True,True,37,1359,6507,1021,2039,493,1218,242,2095,3212
731076756258443264,Fri May 13 11:00:56 +0000 2016,34,149,0,38,False,7,0,False,False,1,2,0,47,1,1,2,0,0,50
3606784345,Fri Sep 18 16:20:22 +0000 2015,520,535,0,1981,False,382,14,False,False,47,50,124,420,416,1,48,7,7,510
715090980018454528,Wed Mar 30 08:19:10 +0000 2016,11681,11,22,1,False,112,12,False,True,0,35,0,3179,0,0,14,0,49,3228
3925498939,Sat Oct 17 13:54:36 +0000 2015,8662,108,1,210,False,18,25,False,False,333,343,48,2454,6,155,413,13,35,3210
2795089939,Sun Sep 07 01:02:17 +0000 2014,2277,298,2,121,False,46,62,False,True,590,725,19,310,158,82,1360,37,179,2272
3318449425,Tue Aug 18 06:14:15 +0000 2015,57372,46,4,1071,False,85,35,False,False,45,67,28,2924,1,16,255,1,49,3239
1889876029,Sat Sep 21 11:13:25 +0000 2013,20800,785,89,62,False,4497,70,True,True,2161,2088,6659,9,34232,13,1150,12,42,3237
2927226291,Wed Dec 17 16:39:10 +0000 2014,2826,8,0,603,False,12,0,False,False,17,22,1,2789,0,24,14,1,1,2825
727994353470164994,Wed May 04 22:52:34 +0000 2016,20590,12,31,0,False,23,17,False,False,0,0,1,0,1,2948,3217,174,283,3217
3256339585,Fri Jun 26 05:12:16 +0000 2015,3507,1645,20,2141,False,1479,159,True,False,102,112,281,2331,1391,324,708,62,72,3143
2332356452,Fri Feb 07 20:13:23 +0000 2014,363,169,5,39,False,40,160,False,False,19,55,7,268,9,156,50,2,49,363
2689253083,Tue Jul 29 05:22:23 +0000 2014,5202,86,0,24,False,149,37,False,True,283,311,40,2100,158,12,866,25,48,3207
195334865,Sun Sep 26 12:44:30 +0000 2010,57523,503,0,1842,False,222,80,False,True,35,38,4,2996,7,3,153,9,60,3185
985099164,Sun Dec 02 18:07:35 +0000 2012,22929,1906,0,197,False,1266,71,False,False,442,602,53,243,15,92,2546,1,2276,3220
158785209,Wed Jun 23 16:59:37 +0000 2010,7368,305,6,857,False,149,100,True,True,1253,1256,281,411,362,129,1597,42,323,3232
704985427065831424,Wed Mar 02 11:03:18 +0000 2016,291,79,0,1814,False,42,22,False,False,134,172,28,36,1720,7,112,1,9,296
2698084741,Fri Aug 01 11:45:55 +0000 2014,90611,231,9,2358,False,182,33,False,True,2146,2303,236,174,164,37,926,12,15,3238
4917717685,Tue Feb 16 20:42:50 +0000 2016,9094,296,3,3494,False,226,114,True,True,489,493,439,1968,363,342,757,154,323,3204
726431396751917057,Sat Apr 30 15:21:56 +0000 2016,802,689,0,0,False,409,0,False,False,8,8,2,89,22,1,705,1,673,802
943669135,Mon Nov 12 14:27:53 +0000 2012,8252,576,0,8070,False,593,36,True,False,123,175,487,1270,1112,78,1745,905,1009,3173
733738188641042432,Fri May 20 19:16:31 +0000 2016,7,94,0,13,False,23,3,False,True,1,3,1,5,1,0,1,0,0,7
