ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
3099198120,Fri Mar 20 08:55:01 +0000 2015,12396,104,2,953,False,112,63,False,True,1535,1720,351,190,589,146,1488,14,36,3215
4520242398,Thu Dec 10 18:05:13 +0000 2015,7640,87,0,34,False,6,0,False,False,2,59,3262,2558,5,499,575,1,1,3190
18644738,Mon Jan 05 20:34:56 +0000 2009,2245,473,5,844,False,84,18,False,True,306,410,55,1516,157,82,396,308,389,2231
1449851516,Wed May 22 20:38:57 +0000 2013,21130,138,4,4800,False,228,107,False,False,833,766,34,899,594,42,1528,5,42,3181
22148601,Fri Feb 27 15:11:39 +0000 2009,502,310,88,0,False,467,117,True,True,0,0,3,0,9,2191,492,0,492,492
733925351789887488,Sat May 21 07:40:14 +0000 2016,1,0,0,0,False,0,0,False,False,0,0,0,0,0,0,1,0,0,1
17863695,Thu Dec 04 08:49:23 +0000 2008,88959,721,188,45,False,13348,68,True,True,188,557,1972,287,1818,1624,2428,2,2542,3208
1097596405,Thu Jan 17 08:35:58 +0000 2013,121707,538,32,24307,False,640,69,True,True,444,472,415,399,3252,131,2388,9,125,3231
704560038300372992,Tue Mar 01 06:52:58 +0000 2016,2859,59,0,174,False,63,15,False,False,382,514,52,1593,176,12,869,43,44,2849
1266534498,Thu Mar 14 08:34:19 +0000 2013,34407,193,15,4,False,144,127,True,True,0,0,9,0,149,3226,3248,0,0,3248
3287112008,Wed Jul 22 03:48:52 +0000 2015,1957,451,1,12130,False,300,80,False,True,245,188,8,338,275,2,137,0,1,662
2483312204,Thu May 08 07:05:17 +0000 2014,2296,410,28,5764,False,522,13,True,False,1105,1035,1195,165,3355,60,1085,1,53,2270
2820009440,Fri Sep 19 13:50:21 +0000 2014,59015,536,2,7325,False,322,126,False,True,306,344,600,2617,142,61,282,10,26,3211
714947557219143680,Tue Mar 29 22:49:15 +0000 2016,2397,178,0,3406,False,153,84,False,False,1308,1427,169,437,3356,26,627,3,4,2398
967847719,Sat Nov 24 11:19:04 +0000 2012,2788,86,1,748,False,64,22,True,False,427,448,335,1363,232,35,1014,35,129,2802
4697991877,Sat Jan 02 18:57:50 +0000 2016,4572,1391,9,1980,False,1703,146,False,True,1422,1566,909,904,1339,133,878,0,9,3202
786596846,Tue Aug 28 09:15:52 +0000 2012,52446,3130,8,52030,False,380,16,False,False,0,0,0,3193,0,0,2,0,1,3195
711810127712530432,Mon Mar 21 07:02:14 +0000 2016,446,64,0,32,False,70,30,False,True,288,281,21,110,30,4,51,0,0,442
371772818,Sun Sep 11 13:54:17 +0000 2011,6848,173,7,637,False,148,47,False,False,861,876,339,1244,630,93,1053,4,34,3160
722266058011185153,Tue Apr 19 03:30:22 +0000 2016,4356,741,0,0,False,128,0,False,False,0,0,0,3245,0,0,0,0,0,3245
2972583747,Sun Jan 11 05:57:31 +0000 2015,248886,2331,37,1161,False,2761,158,True,True,0,0,0,0,1,6340,3247,0,3248,3247
4750820053,Wed Jan 13 01:23:00 +0000 2016,1407,44,3,106,False,685,39,False,True,747,738,2434,242,3349,340,426,0,55,1384
43629921,Sun May 31 02:37:38 +0000 2009,654,223,71,0,False,336,99,True,True,0,0,22,0,38,1267,257,0,257,257
145213760,Tue May 18 11:51:12 +0000 2010,1427318,162,166,2,False,781,27,False,True,0,1,8,0,16,155,3200,0,3139,3201
2774318380,Thu Sep 18 06:51:18 +0000 2014,7634,234,1,13502,False,311,48,True,True,1336,1649,261,725,5143,75,1103,18,467,3178
711450267674226688,Sun Mar 20 07:12:16 +0000 2016,31994,175,2,11128,False,200,113,False,True,987,1193,288,760,1161,39,1442,138,144,3186
3134555004,Fri Apr 03 07:49:54 +0000 2015,18250,213,10,11306,False,243,109,False,True,233,228,100,1669,1908,71,1326,24,29,3223
2926500878,Thu Dec 11 07:03:39 +0000 2014,2097,268,0,2447,False,272,41,False,True,1220,1288,10,184,1422,5,644,0,4,2060
