ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
3308792265,Fri Jun 05 01:42:17 +0000 2015,1878,124,0,2022,False,134,18,False,True,225,394,368,517,1130,53,1056,0,11,1883
1109715128,Mon Jan 21 18:18:53 +0000 2013,20725,1443,73,3347,False,1220,91,True,True,750,672,85,357,1109,46,1685,0,145,2690
4126981642,Fri Nov 06 12:57:13 +0000 2015,263,323,0,29,False,316,104,False,False,0,0,0,143,0,0,0,0,0,143
598599048,Sun Jun 03 17:44:49 +0000 2012,57260,1116,13,21509,False,1971,78,True,True,217,233,287,1531,248,5,1450,375,387,3203
25727653,Sat Mar 21 20:57:42 +0000 2009,4589,1938,3,14,False,1036,52,True,True,20,59,41,48,39,102,3119,0,3091,3209
1941443390,Sun Oct 06 16:34:45 +0000 2013,20797,238,1,816,False,638,40,True,True,372,396,685,1697,519,24,1028,22,29,3093
3184677254,Mon May 04 02:05:30 +0000 2015,8776,148,7,1668,False,180,87,False,True,49,32,92,51,570,47,3126,0,8,3209
633954456,Thu Jul 12 16:50:41 +0000 2012,5969,357,0,4474,False,404,114,False,True,446,586,288,2269,881,51,427,220,237,3181
1464352868,Tue May 28 10:33:12 +0000 2013,199675,664,63,25361,False,718,17,True,True,484,614,422,314,1300,161,2388,0,177,3221
250510947,Fri Feb 11 06:59:49 +0000 2011,44810,958,6,1652,False,1308,125,True,True,241,211,280,482,136,43,2549,150,272,3238
886930886,Wed Oct 17 14:27:14 +0000 2012,1404,195,2,1847,False,56,0,False,False,321,467,33,889,52,2,164,128,178,1403
139562495,Mon May 03 01:05:51 +0000 2010,16899,731,10,13807,False,1047,31,False,False,11,23,0,2720,12,0,7,0,0,2738
69302511,Thu Aug 27 14:20:32 +0000 2009,228946,894,144,11136,False,1151,156,True,True,590,609,144,848,1090,125,1767,3,119,3219
2192550960,Wed Nov 13 16:16:01 +0000 2013,1241,200,0,2815,False,286,17,False,False,457,471,19,133,156,9,232,0,12,816
252028989,Mon Feb 14 10:16:55 +0000 2011,1255,577,2,17,False,1569,42,False,True,51,51,34,735,5,1,14,1,2,800
1954481318,Fri Oct 11 15:51:49 +0000 2013,59768,386,9,99,False,323,105,True,True,0,2,40,1,30,44,3241,0,3256,3244
3466015092,Sun Sep 06 03:06:01 +0000 2015,1213,374,0,207,False,101,128,False,True,151,159,489,883,93,142,199,44,89,1233
2920626979,Sat Dec 06 12:34:20 +0000 2014,15148,173,15,2008,False,142,86,True,True,1078,1039,8,36,572,14,2164,2,4,3239
54035000,Sun Jul 05 23:05:19 +0000 2009,5856,539,15,1267,False,1342,86,True,False,357,1184,928,306,2741,735,2191,6,2039,3240
2877293652,Sat Oct 25 21:20:11 +0000 2014,31466,312,56,47323,False,2841,52,True,False,1131,1188,671,1019,3350,74,1144,243,273,3237
731880282081517568,Sun May 15 16:13:51 +0000 2016,36,45,0,50,False,33,56,False,True,5,5,0,7,7,2,26,0,0,38
2723445543,Thu Jul 24 22:23:34 +0000 2014,22838,499,7,3778,False,347,39,True,True,1482,1304,303,869,409,54,1061,141,156,3197
85289485,Mon Oct 26 11:06:04 +0000 2009,71602,11323,77,9498,False,18161,159,False,True,78,194,3526,2985,2573,1,163,107,135,3234
2942924054,Thu Dec 25 13:58:15 +0000 2014,19815,518,4,1071,False,170,0,False,False,1,1,27,3154,0,0,35,0,2,3190
3872556614,Mon Oct 12 19:08:25 +0000 2015,2869,113,0,222,False,11,41,False,False,11,11,1,2756,0,1,27,0,0,2794
2887091851,Sun Nov 02 05:36:47 +0000 2014,31672,168,2,163,False,98,63,True,True,1932,1936,0,0,3,0,1301,0,0,3237
3138159359,Sun Apr 05 19:07:25 +0000 2015,2015,106,1,351,False,89,35,False,False,225,289,84,180,705,75,1583,2,29,2009
403213782,Wed Nov 02 05:34:20 +0000 2011,250855,1228,61,154760,False,1328,13,False,False,876,1417,75,1571,1184,7,725,0,3,3172
201737265,Tue Oct 12 14:25:48 +0000 2010,296996,543,29,4795,False,852,155,False,True,784,814,127,434,126,81,2029,0,80,3247
2561819736,Wed Jun 11 18:13:05 +0000 2014,17665,201,13,1221,False,607,120,False,True,19,24,24,2966,8,9,244,13,56,3229
303640371,Mon May 23 06:58:39 +0000 2011,2631,243,2,849,False,217,0,False,True,258,373,175,1550,214,268,676,1,8,2521
249212748,Tue Feb 08 16:11:06 +0000 2011,41852,1121,6,9947,False,712,9,False,False,630,698,100,701,574,11,1870,71,176,3204
726485951078391809,Sat Apr 30 18:58:43 +0000 2016,3349,36,0,61,False,193,7,False,False,598,859,849,1206,223,4,1407,673,754,3199
2434769007,Tue Mar 25 03:59:00 +0000 2014,35673,971,2,2907,False,1444,0,False,False,269,289,697,2211,531,1,717,331,417,3187
351943402,Tue Aug 09 23:02:45 +0000 2011,9332,1016,2,2680,False,545,16,False,True,875,1270,129,731,1639,117,1451,108,153,3212
3295556955,Sat May 23 19:18:23 +0000 2015,6931,266,1,398,False,334,0,False,False,12,19,172,2959,51,3,219,47,49,3190
1087975734,Mon Jan 14 04:21:35 +0000 2013,11765,0,0,0,False,53,0,False,False,0,0,7,0,66,0,3201,0,4226,3201
1418579467,Fri May 10 16:47:45 +0000 2013,402,189,2,330,False,93,0,False,False,77,135,95,91,225,288,205,19,61,404
207946156,Tue Oct 26 10:35:00 +0000 2010,109399,2019,11,1688,False,992,39,True,True,2167,2357,296,34,635,5,1188,113,130,3236
164855871,Fri Jul 09 23:13:11 +0000 2010,1022,103,0,29,False,158,71,False,True,8,28,136,734,449,266,235,2,21,997
2458618907,Thu Apr 03 23:59:20 +0000 2014,133546,3337,13,15255,False,4773,18,False,True,925,890,338,1468,157,4,949,258,269,3189
25318193,Thu Mar 19 15:30:23 +0000 2009,1557,209,6,925,False,118,120,False,True,820,1187,39,179,289,748,497,145,166,1557
3271734140,Wed Jul 08 09:27:46 +0000 2015,22184,151,6,9878,False,687,37,False,True,1619,1561,3247,513,5803,28,1148,124,181,3170
4426507168,Wed Dec 09 12:15:45 +0000 2015,281149,1220,538,0,False,880,55,False,False,0,44,102,0,403,5470,3172,1,403,3208
730640455562448896,Thu May 12 06:07:14 +0000 2016,2720,38,0,28,False,58,126,True,True,1431,1481,870,974,48,3,299,72,90,2715
1073985462,Wed Jan 09 14:51:06 +0000 2013,10656,95,1,2452,False,128,14,True,True,192,164,270,1744,402,0,1244,86,101,3151
715856474212286464,Fri Apr 01 11:00:58 +0000 2016,1559,909,0,31,False,670,31,False,True,1,1,7,464,11,26,1093,0,1053,1558
1362243031,Thu Apr 18 15:36:42 +0000 2013,40574,29205,15,80648,False,29504,0,False,False,0,0,0,3190,2,0,1,0,0,3191
1104940308,Sat Jan 19 23:51:23 +0000 2013,18,125,0,0,False,93,16,False,False,0,0,1,2,2,1,14,0,1,16
480002941,Wed Feb 01 01:01:29 +0000 2012,8700,742,0,1671,False,731,0,False,False,432,508,258,688,385,116,2016,15,32,3175
610767811,Sun Jun 17 12:21:54 +0000 2012,19983,177,14,1559,False,415,16,True,True,265,346,666,2302,802,67,627,16,32,3203
3245414491,Sun Jun 14 18:20:14 +0000 2015,18003,331,0,857,False,162,60,False,True,882,891,64,481,516,18,1863,0,13,3198
3648450552,Tue Sep 22 12:19:48 +0000 2015,6953,97,0,1383,False,212,28,False,True,640,627,422,1445,751,3,1160,152,165,3194
755407147,Mon Aug 13 16:12:19 +0000 2012,4726,324,0,5510,False,691,0,False,False,937,1314,1006,669,3478,195,1199,4,97,3023
2953645559,Wed Dec 31 19:48:45 +0000 2014,8044,877,5,2031,False,1103,99,False,True,363,386,3014,1795,1573,51,1000,204,221,3163
886266306,Wed Oct 17 06:55:51 +0000 2012,8300,10,1,2194,False,34,143,True,True,30,81,28,1182,101,3,1936,0,29,3179
1947734989,Tue Oct 08 18:57:02 +0000 2013,1683,131,75,24,False,169,148,True,True,12,240,64,38,189,1938,1474,7,1767,1687
