ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
4220932671,Wed Nov 18 20:55:04 +0000 2015,105,12,0,17,False,18,93,True,False,1,17,10,1,26,27,96,0,25,108
1940068531,Sun Oct 06 06:41:51 +0000 2013,51308,456,35,8139,False,499,18,False,True,2154,2155,85,57,690,24,1053,3,11,3218
699550887568547840,Tue Feb 16 11:08:23 +0000 2016,131,11,0,17,False,12,44,False,False,94,121,2,0,17,5,35,3,11,131
2971474120,Sat Jan 10 14:19:30 +0000 2015,288599,2235,333,1174,False,4060,137,False,True,0,0,0,3219,0,0,0,0,0,3219
4672171080,Tue Dec 29 10:06:39 +0000 2015,3908,176,3,3426,False,233,111,False,True,1302,1345,205,620,1121,136,1242,16,242,3157
1314061388,Fri Mar 29 14:44:48 +0000 2013,52585,91,0,0,False,78,3,False,False,0,0,0,0,0,0,3248,0,0,3248
565236361,Sat Apr 28 07:09:27 +0000 2012,34750,125,5,1823,False,1279,0,False,False,451,807,796,1461,162,29,1130,781,830,3149
725308143853441024,Wed Apr 27 12:58:31 +0000 2016,9494,95,0,1045,False,77,108,False,True,478,480,59,1300,224,31,1463,0,19,3210
84611628,Fri Oct 23 15:03:58 +0000 2009,2908,1673,11,335,False,1035,110,True,True,1027,1415,443,306,374,1443,1510,1,1290,2909
3299140608,Tue Jul 28 06:01:07 +0000 2015,12,350,0,3278,False,412,43,True,True,1,1,3,3,83,2,7,0,1,11
607193803,Wed Jun 13 12:57:56 +0000 2012,163843,518,5,2749,False,1369,11,False,False,59,70,10,2931,2,10,204,4,65,3204
117727397,Fri Feb 26 12:16:02 +0000 2010,21723,2308,43,4079,False,1597,95,True,True,697,962,1416,1445,1207,161,821,10,122,3184
2918425555,Thu Dec 04 09:26:05 +0000 2014,11473,57,4,17,False,84,14,False,True,372,387,170,1468,1334,58,1359,200,225,3181
733304313867423744,Thu May 19 14:32:27 +0000 2016,45,56,0,15,False,30,60,False,True,16,16,7,26,28,3,6,0,0,48
707091252911562752,Tue Mar 08 06:31:06 +0000 2016,169,80,0,515,False,89,0,False,False,6,6,0,105,6,3,16,0,6,127
88608591,Mon Nov 09 06:36:00 +0000 2009,4347,253,2,73,False,114,71,True,True,533,916,105,1841,63,52,600,4,33,2989
733285757717094401,Thu May 19 13:18:43 +0000 2016,21,5,0,1,False,1,75,False,False,29,29,31,19,2,0,1,0,0,49
3227285755,Tue May 26 15:07:52 +0000 2015,2215,17,0,2,False,1,0,False,False,0,1562,20,42,16,95,617,3,2172,2215
1486506660,Thu Jun 06 01:44:17 +0000 2013,253962,811,13,1,False,710,112,False,False,3181,3356,0,0,8,0,53,0,0,3227
202125300,Wed Oct 13 10:49:55 +0000 2010,91938,353,18,772,False,381,81,True,True,1100,1146,299,375,379,33,1723,12,286,3208
1570222297,Fri Jul 05 10:19:21 +0000 2013,69745,1981,23,10249,False,2343,137,True,True,43,46,90,2942,57,4,234,127,128,3221
725881405,Mon Jul 30 11:35:07 +0000 2012,21202,112,0,2157,False,592,64,False,True,1340,1377,2491,1358,1991,52,535,19,30,3228
428370821,Sun Dec 04 17:43:02 +0000 2011,15767,84,0,0,False,68,82,False,True,0,0,7,0,33,0,3246,0,0,3246
