ID,CREATED_AT,STATUSES_COUNT,FRIENDS_COUNT,LISTED_COUNT,USER_FAVORITES,HAS_BEEN_VERIFIED,FOLLOWERS_COUNT,DESCRIPTION_LEN,HAS_URL,HAS_LOCATION,REPLIES,MENTIONS,RETWEETS_OF_USER_TWEETS,RETWEETS_BY_USER,FAVORITE_COUNT_FOR_USER,HASHTAGS,BROADCAST_COMMS,QUOTES,URLS,TWEETS_EXAMINED
754442660,Mon Aug 13 04:46:51 +0000 2012,118244,757,43,5734,False,733,135,False,True,1294,1492,304,732,1484,41,1146,20,34,3218
2953004273,Wed Dec 31 12:20:25 +0000 2014,5549,181,0,4438,False,108,160,False,False,878,1523,1061,1437,2887,708,848,41,92,3202
483527709,Sun Feb 05 03:44:41 +0000 2012,7725,850,5,208,False,1256,0,False,False,657,734,472,384,481,5,1000,462,552,1990
294221643,Fri May 06 19:02:22 +0000 2011,42178,97,11,671,False,370,20,False,True,62,257,100,2439,44,3,543,0,10,3203
1248044190,Thu Mar 07 06:24:43 +0000 2013,21309,575,4,498,False,2458,128,True,True,140,664,1631,2129,1882,96,699,0,510,3238
3399553919,Sun Aug 02 02:49:15 +0000 2015,14849,300,5,4974,False,235,32,False,False,2067,3661,188,436,676,5,703,302,311,3216
383314394,Sat Oct 01 17:13:23 +0000 2011,10611,378,2,14675,False,888,61,False,True,305,468,175,183,1848,40,425,56,167,996
974899892,Tue Nov 27 22:51:46 +0000 2012,53904,3458,7,1315,False,2108,46,False,True,57,46,74,2716,63,129,442,141,145,3204
3041734348,Tue Feb 17 00:31:34 +0000 2015,2006,827,0,782,False,307,17,False,True,98,113,219,663,451,23,1217,11,32,1992
2696492192,Thu Jul 31 19:52:29 +0000 2014,5174,116,29,5982,False,94,0,False,False,461,793,76,2582,234,28,181,7,44,3232
3230792094,Sat May 30 15:50:51 +0000 2015,12347,1365,1,983,False,912,21,False,False,9,12,19,2849,0,7,381,0,375,3239
4590248189,Thu Dec 24 14:54:26 +0000 2015,549,201,0,132,False,153,108,True,True,322,357,8,88,98,24,115,1,31,497
627717735,Thu Jul 05 18:58:54 +0000 2012,114791,1286,2,2413,False,1550,115,False,False,310,327,614,756,526,1,2125,7,132,3187
3994139968,Mon Oct 19 11:21:02 +0000 2015,290,3,0,291,False,200,0,False,False,0,0,0,296,0,0,0,0,0,296
13201312,Thu Feb 07 12:05:20 +0000 2008,542162,2892,15566,851,True,2166875,80,True,True,3217,3218,2828,0,3065,3222,6,0,3217,3223
1078407624,Fri Jan 11 03:42:08 +0000 2013,2297,15247,103,879,False,128456,28,True,False,191,231,193175,32,143820,64,1984,0,70,2231
242291753,Mon Jan 24 12:40:10 +0000 2011,13274,888,13,13,False,277,73,False,True,116,178,105,240,132,983,2822,104,348,3232
349114606,Fri Aug 05 15:35:07 +0000 2011,4057,633,1,1526,False,744,51,False,False,1733,2839,666,430,2556,676,671,37,77,3193
1571447660,Fri Jul 05 22:09:27 +0000 2013,59124,144,15,36540,False,429,26,False,False,1159,770,250,690,3052,15,1869,81,122,3223
1855088383,Wed Sep 11 18:11:58 +0000 2013,5476,660,0,406,False,753,8,True,True,114,119,783,914,588,29,2177,4,56,3199
4831405337,Thu Jan 21 01:47:54 +0000 2016,452,462,0,101,False,42,71,False,False,213,362,240,173,252,27,18,1,8,443
703522354614370304,Sat Feb 27 10:09:35 +0000 2016,11478,259,2,18710,False,581,25,True,True,881,1134,907,1014,4410,184,1206,379,395,3228
1932166884,Thu Oct 03 22:07:03 +0000 2013,11973,6854,5,2292,False,8931,0,False,False,135,155,1443,2211,905,71,777,18,78,3142
501233974,Thu Feb 23 23:08:45 +0000 2012,10828,394,1,5323,False,416,83,False,False,1080,1490,463,634,2085,135,1368,109,122,3191
3924136693,Sat Oct 17 10:57:14 +0000 2015,608,43,0,294,False,31,44,True,False,197,210,54,21,596,11,393,14,184,608
2548183375,Thu Jun 05 13:45:55 +0000 2014,19888,83,0,8,False,79,17,False,False,0,118,2,0,2,2615,2921,0,822,2993
720267067,Fri Jul 27 14:37:30 +0000 2012,3190,36,4,1410,False,54,22,False,True,896,1325,141,1881,545,2,409,59,64,3203
1159150465,Fri Feb 08 04:46:49 +0000 2013,8394,409,1,41283,False,544,48,False,False,793,1295,498,871,4075,58,1051,2,64,3063
