"STATUSES_COUNT","FRIENDS_COUNT","LISTED_COUNT","USER_FAVORITES","DESCRIPTION_LEN","HAS_URL","HAS_LOCATION","REPLIES","MENTIONS","RETWEETS_OF_USER_TWEETS","RETWEETS_BY_USER","FAVORITE_COUNT_FOR_USER","HASHTAGS","BROADCAST_COMMS","QUOTES","URLS","TWEETS_EXAMINED","USER_AGE","FOLLOWERS_COUNT"
263,323,0,29,104,0,0,0,0,0,143,0,0,0,0,0,143,209.153547967322,316
57260,1116,13,21509,78,1,1,217,233,287,1531,248,5,1450,375,387,3203,1459.9538257451,1971
4589,1938,3,14,52,1,1,20,59,41,48,39,102,3119,0,3091,3209,2629.81987898584,1036
20797,238,1,816,40,1,1,372,396,685,1697,519,24,1028,22,29,3093,970.002483152507,638
8776,148,7,1668,87,0,1,49,32,92,51,570,47,3126,0,8,3209,395.60612898584,180
5969,357,0,4474,114,0,1,446,586,288,2269,881,51,427,220,237,3181,1420.99141833769,404
44810,958,6,1652,125,1,1,241,211,280,482,136,43,2549,150,272,3238,1938.40174241177,1308
16899,731,10,13807,31,0,0,11,23,0,2720,12,0,7,0,0,2738,2222.64755259695,1047
1241,200,0,2815,17,0,0,457,471,19,133,156,9,232,0,12,816,932.015492411766,286
1255,577,2,17,42,0,1,51,51,34,735,5,1,14,1,2,800,1935.26486741177,1569
59768,386,9,99,105,1,1,0,2,40,1,30,44,3241,0,3256,3244,965.032297967322,323
1213,374,0,207,128,0,1,151,159,489,883,93,142,199,44,89,1233,270.564103522877,101
15148,173,15,2008,86,1,1,1078,1039,8,36,572,14,2164,2,4,3239,544.169439171026,142
5856,539,15,1267,86,1,0,357,1184,928,306,2741,735,2191,6,2039,3240,2523.73125630066,1342
31466,312,56,47323,52,1,0,1131,1188,671,1019,3350,74,1144,243,273,3237,585.804265559914,2841
22838,499,7,3778,39,1,1,1482,1304,303,869,409,54,1061,141,156,3197,678.760249356211,347
71602,11323,77,9498,159,0,1,78,194,3526,2985,2573,1,163,107,135,3234,2411.23073546732,18161
19815,518,4,1071,0,0,0,1,1,27,3154,0,0,35,0,2,3190,525.111163708063,170
17665,201,13,1221,120,0,1,19,24,24,2966,8,9,244,13,56,3229,721.93419611547,607
2631,243,2,849,0,0,1,258,373,175,1550,214,268,676,1,8,2521,1837.40255259695,217
41852,1121,6,9947,9,0,0,630,698,100,701,574,11,1870,71,176,3204,1941.01890676362,712
3349,36,0,61,7,0,0,598,859,849,1206,223,4,1407,673,754,3199,32.9025063006552,193
35673,971,2,2907,0,0,0,269,289,697,2211,531,1,717,331,417,3187,800.527309541396,1444
9332,1016,2,2680,16,0,1,875,1270,129,731,1639,117,1451,108,153,3212,1758.73303870806,545
6931,266,1,398,0,0,0,12,19,172,2959,51,3,219,47,49,3190,375.888848893248,334
1022,103,0,29,71,0,1,8,28,136,734,449,266,235,2,21,997,2154.72579333769,158
1557,209,6,925,120,0,1,820,1187,39,179,289,748,497,145,166,1557,2632.04718222658,118
22184,151,6,9878,37,0,1,1619,1561,3247,513,5803,28,1148,124,181,3170,330.298999356211,687
10656,95,1,2452,14,1,1,192,164,270,1744,402,0,1244,86,101,3151,1240.07446231917,128
1559,909,0,31,31,0,1,1,1,7,464,11,26,1093,0,1053,1558,62.2342771339886,670
40574,29205,15,80648,0,0,0,0,0,0,3190,2,0,1,0,0,3191,1141.04279565251,29504
8700,742,0,1671,0,0,0,432,508,258,688,385,116,2016,15,32,3175,1583.65058500436,731
19983,177,14,1559,16,1,1,265,346,666,2302,802,67,627,16,32,3203,1446.17807343028,415
18003,331,0,857,60,0,1,882,891,64,481,516,18,1863,0,13,3198,353.929230837692,162
6953,97,0,1383,28,0,1,640,627,422,1445,751,3,1160,152,165,3194,254.179531763618,212
4726,324,0,5510,0,0,0,937,1314,1006,669,3478,195,1199,4,97,3023,1389.01806185621,691
8044,877,5,2031,99,0,1,363,386,3014,1795,1573,51,1000,204,221,3163,518.867760930285,1103
1683,131,75,24,148,1,1,12,240,64,38,189,1938,1474,7,1767,1687,967.903675282137,169
